id_ligne;id_arret;stop_name;day_type;first_passage;last_passage;avg_passage_per_day;early birds;morning commute;late morning;lunch time;afternoon;evening commute;evening;night;amplitude_horaire;amplitude_horaire_heures;avg_passage_per_hour
0050;3308;Placis Vert;weekday;0 days 07:52:00;0 days 16:39:00;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0 days 08:47:00;8.783333333333333;0.22770398481973436
0050;3309;Portail;weekday;0 days 06:11:00;0 days 21:25:00;40.0;2.0;8.0;4.0;4.0;8.0;10.0;4.0;0.0;0 days 15:14:00;15.233333333333333;2.6258205689277903
0050;3309;Portail;weekend;0 days 07:15:00;0 days 21:25:01;23.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;0.0;0 days 14:10:01;14.166944444444445;1.6587910040979588
0050;3310;Portail;weekday;0 days 06:31:57;1 days 01:58:00;39.4;2.0;7.0;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:03;19.434166666666666;2.027357317439218
0050;3310;Portail;weekend;0 days 07:35:57;1 days 01:58:00;24.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;2.0;0 days 18:22:03;18.3675;1.3338777732407785
0050;3311;Fouillard;weekday;0 days 06:33:00;1 days 01:59:00;39.4;2.0;7.0;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:00;19.433333333333334;2.0274442538593482
0050;3311;Fouillard;weekend;0 days 07:37:00;1 days 01:59:00;24.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;2.0;0 days 18:22:00;18.366666666666667;1.3339382940108893
0050;3312;Juteauderies;weekday;0 days 06:35:00;1 days 02:01:05;39.4;2.0;7.0;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:05;19.434722222222224;2.027299363967698
0050;3312;Juteauderies;weekend;0 days 07:39:00;1 days 02:01:05;24.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;2.0;0 days 18:22:05;18.368055555555557;1.3338374291115311
0050;3313;Bocage;weekday;0 days 06:36:00;1 days 02:02:08;39.4;2.0;7.0;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:08;19.435555555555556;2.027212439972559
0050;3313;Bocage;weekend;0 days 07:40:00;1 days 02:02:08;24.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;2.0;0 days 18:22:08;18.36888888888889;1.3337769174933463
0050;3314;Anne de Bretagne;weekday;0 days 06:04:55;0 days 21:20:00;40.0;3.0;8.0;4.0;4.0;7.0;10.0;4.0;0.0;0 days 15:15:05;15.251388888888888;2.6227119570166653
0050;3314;Anne de Bretagne;weekend;0 days 07:09:46;0 days 21:20:00;23.5;0.0;6.0;3.0;3.0;5.5;6.0;3.0;0.0;0 days 14:10:14;14.170555555555556;1.6583682910573567
0050;3315;Thorigné Mairie;weekday;0 days 06:04:00;0 days 21:19:00;40.0;3.0;8.0;4.0;4.0;7.0;10.0;4.0;0.0;0 days 15:15:00;15.25;2.622950819672131
0050;3315;Thorigné Mairie;weekend;0 days 07:09:00;0 days 21:19:00;23.5;0.0;6.0;3.0;3.0;5.5;6.0;3.0;0.0;0 days 14:10:00;14.166666666666666;1.6588235294117648
0050;3321;Fouillard;weekday;0 days 07:48:31;0 days 07:49:00;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 00:00:29;0.008055555555555555;124.13793103448276
0050;3322;Curien;weekday;0 days 06:02:34;0 days 21:18:00;40.0;3.0;8.0;4.0;4.0;7.0;10.0;4.0;0.0;0 days 15:15:26;15.257222222222222;2.621709208753596
0050;3322;Curien;weekend;0 days 07:07:34;0 days 21:18:00;23.5;0.0;6.0;3.0;3.0;5.5;6.0;3.0;0.0;0 days 14:10:26;14.17388888888889;1.6579782855799003
0050;3323;Curien;weekday;0 days 06:39:40;1 days 02:06:00;39.4;1.5;7.5;4.0;4.0;8.0;10.0;4.0;2.0;0 days 19:26:20;19.43888888888889;2.026864818519577
0050;3323;Curien;weekend;0 days 07:43:00;1 days 02:06:00;24.5;0.0;5.0;3.0;3.0;5.75;6.0;3.0;2.5;0 days 18:23:00;18.383333333333333;1.3327289211242068
0051;2401;Champ Devant;weekday;0 days 06:10:00;1 days 02:06:00;119.2;5.0;30.0;11.0;13.0;20.8;31.0;7.0;1.4;0 days 19:56:00;19.933333333333334;5.979933110367893
0051;2401;Champ Devant;weekend;0 days 06:45:00;1 days 02:06:00;51.5;1.0;12.0;5.0;7.0;12.5;13.5;5.0;2.0;0 days 19:21:00;19.35;2.6614987080103356
0051;2402;Omblais;weekday;0 days 06:10:44;0 days 21:16:00;58.8;3.0;15.0;6.0;6.0;10.8;14.0;4.0;0.0;0 days 15:05:16;15.087777777777777;3.8971941969217174
0051;2402;Omblais;weekend;0 days 06:45:44;0 days 21:16:00;25.0;1.0;6.0;2.5;3.5;6.5;6.5;2.5;0.0;0 days 14:30:16;14.504444444444445;1.7236096215719319
0051;2403;Brocéliande;weekday;0 days 06:11:00;0 days 21:16:27;58.8;2.5;15.5;6.0;6.0;10.8;14.0;4.0;0.0;0 days 15:05:27;15.090833333333334;3.896405102435253
