date;tranche_horaire;id_arret;nom_commune;id_ligne;sens;freq
2025-03-14;12:00:00;3856;Mordelles;55;Retour;3.52941
2024-09-14;15:30:00;2810;Saint-Grégoire;78;Aller;1.17647
2025-07-23;16:15:00;2809;Saint-Grégoire;1;Aller;5.88235
2024-11-18;16:45:00;4060;La Chapelle-des-Fougeretz;52;Retour;1.17647
2025-06-27;07:30:00;2629;Vern-sur-Seiche;62;Retour;2.35294
2025-07-11;12:45:00;2545;Le Rheu;54;Retour;3.52941
2024-09-28;15:45:00;2448;Betton;78;Aller;2.49412
2024-10-24;11:30:00;4702;Laillé;80;Retour;7.05882
2025-07-28;16:15:00;3139;Pacé;77;Retour;10.58824
2024-09-19;16:45:00;2457;Betton;178;Retour;1.17647
2025-01-06;09:45:00;2815;Saint-Grégoire;1;Aller;1.17647
2025-01-13;08:00:00;2214;Saint-Jacques-de-la-Lande;6;Retour;24.70588
2024-12-18;09:15:00;2813;Saint-Grégoire;1;Aller;1.17647
2025-04-28;08:15:00;4704;Laillé;80;Retour;5.88235
2025-07-15;08:00:00;2307;Bruz;7;Retour;2.35294
2025-01-17;16:45:00;2831;Saint-Grégoire;78;Aller;10.58824
2025-01-30;18:15:00;2035;Cesson-Sévigné;11;Aller;5.88235
2025-07-01;17:30:00;2138;Cesson-Sévigné;50;Retour;1.17647
2025-01-22;15:00:00;3110;Pacé;65;Retour;1.17647
2025-06-05;09:00:00;2014;Cesson-Sévigné;6;Aller;1.17647
2025-02-18;20:45:00;2701;Noyal-Châtillon-sur-Seiche;72;Retour;1.17647
2024-10-18;17:30:00;3315;Thorigné-Fouillard;50;Aller;4.70588
2024-09-13;21:30:00;3009;Chantepie;1;Aller;2.35294
2025-06-10;12:45:00;3144;Pacé;77;Retour;3.52941
2025-03-26;08:15:00;2610;Vern-sur-Seiche;62;Retour;2.35294
2025-03-13;07:30:00;2729;Noyal-Châtillon-sur-Seiche;161;Retour;4.70588
2025-05-10;07:15:00;4504;Gévezé;68;Aller;1.17647
2025-06-28;16:15:00;4202;Chavagne;56;Retour;3.52941
2025-07-07;19:30:00;2702;Noyal-Châtillon-sur-Seiche;59;Retour;2.35294
2025-07-07;15:00:00;2311;Bruz;7;Retour;2.35294
2024-12-07;07:45:00;2131;Cesson-Sévigné;2;Aller;1.17647
2025-06-07;13:45:00;3751;Vezin-le-Coquet;11;Retour;2.35294
2025-07-07;17:45:00;2815;Saint-Grégoire;12;Aller;2.35294
2024-12-05;08:00:00;2546;Le Rheu;54;Retour;3.52941
2025-07-30;07:45:00;2144;Cesson-Sévigné;14;Aller;2.35294
2025-04-24;19:45:00;2521;Le Rheu;55;Retour;7.05882
2024-12-03;14:30:00;4653;Cintré;54;Retour;2.35294
2025-08-23;17:15:00;4504;Gévezé;68;Aller;1.17647
2025-02-27;18:00:00;2035;Cesson-Sévigné;11;Aller;4.70588
2025-01-04;09:15:00;2857;Saint-Grégoire;78;Aller;1.17647
2025-05-10;16:30:00;3509;Montgermont;52;Retour;2.35294
