route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6-0073,expl-11_VENDREDI,11_VENDREDI-16438272,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438272,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438272,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_MARDI,12_MARDI-16438272,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438272,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438272,Rennes La Poterie,,1,7301,0073-B-4112-1511,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438299,Rennes La Poterie,,1,7304,0073-B-4551-1511,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438299,Rennes La Poterie,,1,7304,0073-B-4551-1511,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438299,Rennes La Poterie,,1,7304,0073-B-4551-1511,1,0
6-0073,expl-12_MARDI,12_MARDI-16438299,Rennes La Poterie,,1,7304,0073-B-4551-1511,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438299,Rennes La Poterie,,1,7304,0073-B-4551-1511,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438299,Rennes La Poterie,,1,7304,0073-B-4551-1511,1,0
6-0073,gen-4a1c0e4b2e,00000027832,Rennes La Poterie,,1,73-5.4417558,0073-B-4551-1511,1,0
6-0073,gen-6d0d067280,00000027833,Rennes La Poterie,,1,73-5.4416304,0073-B-4551-1511,1,0
6-0073,prog-00000000021,00000027834,Rennes La Poterie,,1,73-5.4419457,0073-B-4551-1511,1,0
6-0073,gen-2840647534,00000027835,Rennes La Poterie,,1,73-5.4416720,0073-B-4551-1511,1,0
