date_mesure,geocode_commune,libelle_commune,valeur
2016-01-01T00:00:00.000,62096,Beaumetz-lès-Cambrai,0.8636363636363636
2022-01-01T00:00:00.000,11207,Loupia,0.934892795529115
2011-01-01T00:00:00.000,32148,Giscaro,0.9333333333333331
2011-01-01T00:00:00.000,58250,Saint-Léger-des-Vignes,0.8735135135135135
2016-01-01T00:00:00.000,77019,Balloy,0.9538461538461565
2022-01-01T00:00:00.000,48087,Prinsuéjols-Malbouzon,0.9285219979524935
2016-01-01T00:00:00.000,30275,Saint-Just-et-Vacquières,0.974969011970546
2022-01-01T00:00:00.000,58166,Mhère,0.9479288420209534
2022-01-01T00:00:00.000,07293,Saint-Romain-de-Lerps,0.9629134119137046
2016-01-01T00:00:00.000,18093,Faverdines,0.8636363636363636
2011-01-01T00:00:00.000,25171,Courcelles,0.9750000000000012
2016-01-01T00:00:00.000,39107,Charcier,0.9672131147540978
2022-01-01T00:00:00.000,56262,Le Bono,0.9521679528493225
2011-01-01T00:00:00.000,57113,Brouderdorff,0.930835734870317
2016-01-01T00:00:00.000,14284,Fourneaux-le-Val,0.9375
2016-01-01T00:00:00.000,32320,Plieux,0.9538461538461543
2016-01-01T00:00:00.000,80197,Cizancourt,0.6875
2016-01-01T00:00:00.000,60283,Gouy-les-Groseillers,0.8888888888888888
2011-01-01T00:00:00.000,80721,Saint-Valery-sur-Somme,0.8391071579817023
2016-01-01T00:00:00.000,54327,Lucey,0.9391506591214206
2016-01-01T00:00:00.000,27037,Barc,0.9661907415802862
2016-01-01T00:00:00.000,14289,Fresné-la-Mère,0.9763033175355443
2016-01-01T00:00:00.000,47262,Saint-Nicolas-de-la-Balerme,0.9464285714285714
2011-01-01T00:00:00.000,47205,Pindères,0.9687499999999992
2011-01-01T00:00:00.000,52447,Saint-Ciergues,0.9277108433734939
2016-01-01T00:00:00.000,02392,Joncourt,0.9189859670962591
2016-01-01T00:00:00.000,80692,Sailly-Flibeaucourt,0.8734395960768946
2022-01-01T00:00:00.000,73137,Jacob-Bellecombette,0.802048181784686
