Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier;Visibilité;Stopid gtfs/gtfs-rt
2010;2022-10-24;;Oui;2010;Mare Pavée;35051;Cesson-Sévigné;48.122708, -1.610892;true;Abri simple;Grand public;6-2010
2012;2022-10-24;;Oui;2012;Muguet;35051;Cesson-Sévigné;48.118353, -1.608488;true;Abri double;Grand public;6-2012
2017;2022-10-24;;Oui;2017;Champs Péans;35051;Cesson-Sévigné;48.11411, -1.630409;true;Abri simple;Grand public;6-2017
2020;2022-10-24;;Oui;2020;Taillis;35051;Cesson-Sévigné;48.114126, -1.621787;true;Abri simple;Grand public;6-2020
2021;2022-10-24;;Oui;2021;Hublais;35051;Cesson-Sévigné;48.114196, -1.613697;true;Abri simple;Grand public;6-2021
2023;2022-10-24;;Oui;2023;Vilaine;35051;Cesson-Sévigné;48.115515, -1.607203;true;Abri simple;Grand public;6-2023
2026;2022-10-24;;Oui;2026;Mare Pavée;35051;Cesson-Sévigné;48.122915, -1.610863;true;Abri simple;Grand public;6-2026
2027;2024-07-08;;Oui;2027;Fontenelle;35051;Cesson-Sévigné;48.123465, -1.608022;true;Poteau;Grand public;6-2027
2028;2024-07-08;;Oui;2028;La Coulée;35051;Cesson-Sévigné;48.123506, -1.604052;true;Poteau;Grand public;6-2028
2032;2024-07-08;;Oui;2032;Charmilles;35051;Cesson-Sévigné;48.106218, -1.621325;true;Abri simple;Grand public;6-2032
2035;2024-07-08;;Oui;2035;Forum;35051;Cesson-Sévigné;48.0997, -1.621009;true;Abri simple;Grand public;6-2035
2040;2024-07-08;;Oui;2040;Chalotais;35051;Cesson-Sévigné;48.116081, -1.600455;true;Abri double;Grand public;6-2040
2058;2024-10-07;;Oui;2058;Peupliers;35051;Cesson-Sévigné;48.112664, -1.607724;true;Abri simple;Grand public;6-2058
2075;2024-07-08;;Oui;2075;Mare Pavée;35051;Cesson-Sévigné;48.12335, -1.611247;true;Poteau;Grand public;6-2075
2114;2020-08-03;;Oui;2114;Château de Vaux;35051;Cesson-Sévigné;48.137455, -1.62224;true;Poteau;Grand public;6-2114
2122;2023-09-04;;Oui;2122;Buisson;35051;Cesson-Sévigné;48.104862, -1.630158;true;Abri simple;Grand public;6-2122
2130;2018-09-03;;Oui;2130;Château Monniais;35051;Cesson-Sévigné;48.108244, -1.600637;false;Poteau provisoire;Grand public;6-2130
2142;2023-04-17;;Oui;2142;Cesson - Viasilva;35051;Cesson-Sévigné;48.133035, -1.620304;true;Abri simple;Grand public;6-2142
2154;2024-02-12;;Oui;2154;Bouriande;35051;Cesson-Sévigné;48.127544, -1.621037;true;Abri simple;Grand public;6-2154
2157;2024-02-12;;Oui;2157;Gaudais;35051;Cesson-Sévigné;48.127134, -1.613989;true;Poteau;Grand public;6-2157
2165;2024-09-02;;Oui;2165;Chêne Morand;35051;Cesson-Sévigné;48.103792, -1.621297;true;Poteau;Grand public;6-2165
2167;2024-09-02;;Oui;2167;Montoul;35051;Cesson-Sévigné;48.097347, -1.574887;false;Poteau;Grand public;6-2167
2201;2022-10-24;;Oui;2201;Morinais;35281;Saint-Jacques-de-la-Lande;48.075502, -1.716273;true;Abri simple;Grand public;6-2201
2207;2022-10-24;;Oui;2207;Lilas;35281;Saint-Jacques-de-la-Lande;48.09409, -1.699573;true;Poteau;Grand public;6-2207
2210;2022-10-24;;Oui;2210;Lilas;35281;Saint-Jacques-de-la-Lande;48.094298, -1.698547;true;Abri simple;Grand public;6-2210
2219;2017-04-18;;Oui;2219;Pilate;35281;Saint-Jacques-de-la-Lande;48.094065, -1.690639;true;Abri simple;Grand public;6-2219
2223;2022-10-24;;Oui;2223;Abbé Grimault;35281;Saint-Jacques-de-la-Lande;48.067342, -1.716866;true;Abri simple;Grand public;6-2223
2226;2022-10-24;;Oui;2226;Rablais Allende;35281;Saint-Jacques-de-la-Lande;48.086645, -1.701446;true;Abri simple;Grand public;6-2226
2230;2022-10-24;;Oui;2230;Rablais Allende;35281;Saint-Jacques-de-la-Lande;48.086456, -1.701833;false;Poteau;Grand public;6-2230
2268;2002-01-01;;Oui;2268;Auriol;35281;Saint-Jacques-de-la-Lande;48.075166, -1.729377;false;Poteau;Grand public;6-2268
